image,alpha_1,alpha_2,beta,rho
kodim01_scsc_0.50.png,0.70446,0.83165,0.11771,0.5
kodim03_scst_0.75.bmp,0.98617,0.9939,0.60452,0.75
kodim04_crop_0.50.bmp,0.67074,0.99556,0.57329,0.5
kodim05_seam_0.50.bmp,0.81883,0.84717,0.15722,0.5
kodim06_scsc_0.75.png,0.9856,0.99113,0.52531,0.75
kodim07_scst_0.75.bmp,0.95689,0.97646,0.52288,0.75
kodim08_scst_0.50.bmp,0.69329,0.76578,0.1833,0.5
kodim09_scst_0.50.bmp,0.98802,0.99469,0.51323,0.5
kodim10_crop_0.50.bmp,0.85755,0.99987,0.79934,0.5
kodim11_scal_0.50.bmp,0.84502,0.86884,0.074457,0.5
kodim12_scal_0.50.bmp,0.85706,0.86206,0.19417,0.5
kodim13_crop_0.50.bmp,0.61213,0.99878,0.66027,0.5
kodim14_crop_0.50.bmp,0.83215,0.99999,0.73607,0.5
kodim16_scal_0.50.bmp,0.54041,0.63538,0.086957,0.5
kodim17_crop_0.50.bmp,0.77715,0.99916,0.65886,0.5
kodim18_scal_0.50.bmp,0.77541,0.77969,0.037008,0.5
kodim19_scsc_0.50.png,0.9659,0.97418,0.30846,0.5
kodim20_seam_0.50.bmp,0.91003,0.95189,0.48742,0.5
kodim21_scal_0.50.bmp,0.48707,0.62388,0.064646,0.5
kodim22_seam_0.50.bmp,0.6267,0.82218,0.20168,0.5
kodim23_scsc_0.50.png,0.96869,0.98617,0.27404,0.5
kodim24_seam_0.50.bmp,0.57185,0.68469,0.24934,0.5
monarch_crop_0.75.bmp,0.9603,1,0.95351,0.75
kodim01_scsc_0.75.png,0.89634,0.93261,0.46664,0.75
kodim03_seam_0.50.bmp,0.88749,0.93822,0.30899,0.5
kodim04_scsc_0.75.png,0.96808,0.97528,0.54688,0.75
kodim05_warp_0.50.bmp,0.87679,0.92104,0.11613,0.5
kodim06_scst_0.50.bmp,0.93163,0.96525,0.33677,0.5
kodim07_seam_0.50.bmp,0.8725,0.78614,0.31341,0.5
kodim08_seam_0.50.bmp,0.7135,0.69375,0.20696,0.5
kodim09_seam_0.50.bmp,0.93451,0.92339,0.75709,0.5
kodim10_scsc_0.75.png,0.9843,0.98982,0.53191,0.75
kodim11_scst_0.50.bmp,0.95954,0.99215,0.25322,0.5
kodim12_scsc_0.50.png,0.9643,0.95408,0.39729,0.5
kodim13_scst_0.50.bmp,0.87012,0.93523,0.12796,0.5
kodim14_scal_0.75.bmp,0.96723,0.97987,0.31519,0.75
kodim16_scsc_0.50.png,0.48838,0.72993,0.17197,0.5
kodim17_seam_0.50.bmp,0.75971,0.71012,0.37956,0.5
kodim18_scsc_0.75.png,0.99485,0.98843,0.54028,0.75
kodim19_scsc_0.75.png,0.98932,0.99689,0.53421,0.75
kodim20_shif_0.50.bmp,0.91827,0.99934,0.76246,0.5
kodim21_scsc_0.75.png,0.92165,0.9294,0.49575,0.75
kodim22_seam_0.75.bmp,0.86318,0.90121,0.47564,0.75
kodim23_scsc_0.75.png,0.99138,0.99461,0.62192,0.75
kodim24_seam_0.75.bmp,0.77611,0.82676,0.55948,0.75
monarch_scst_0.50.bmp,0.87762,0.97075,0.29954,0.5
kodim01_scst_0.50.bmp,0.69785,0.8136,0.15912,0.5
kodim03_seam_0.75.bmp,0.98597,0.98555,0.68617,0.75
kodim04_seam_0.50.bmp,0.31924,0.74567,0.31579,0.5
kodim05_warp_0.75.bmp,0.95203,0.95786,0.37832,0.75
kodim06_shif_0.50.bmp,0.9716,0.99785,0.83748,0.5
kodim07_seam_0.75.bmp,0.97778,0.97448,0.77361,0.75
kodim08_seam_0.75.bmp,0.8821,0.83946,0.56759,0.75
kodim09_seam_0.75.bmp,0.99356,0.99323,0.90952,0.75
kodim10_seam_0.50.bmp,0.89575,0.86655,0.64698,0.5
kodim11_seam_0.50.bmp,0.91757,0.93012,0.51736,0.5
kodim12_scst_0.50.bmp,0.97365,0.98779,0.43005,0.5
kodim13_seam_0.50.bmp,0.75198,0.83533,0.1044,0.5
kodim14_scst_0.50.bmp,0.87826,0.96581,0.23056,0.5
kodim16_scst_0.50.bmp,0.93261,0.90829,0.25743,0.5
kodim17_warp_0.75.bmp,0.97582,0.96419,0.56971,0.75
kodim18_scst_0.50.bmp,0.96054,0.95479,0.31442,0.5
kodim19_scst_0.50.bmp,0.97285,0.98673,0.51633,0.5
kodim20_warp_0.75.bmp,0.98503,0.9912,0.47876,0.75
kodim21_scst_0.50.bmp,0.91123,0.96827,0.24961,0.5
kodim22_warp_0.50.bmp,0.59225,0.81136,0.099808,0.5
kodim23_scst_0.50.bmp,0.94495,0.99408,0.32312,0.5
kodim24_shif_0.75.bmp,0.87019,0.99839,0.84733,0.75
monarch_seam_0.50.bmp,0.61369,0.57295,0.18904,0.5
ArtRoom_crop_0.50.bmp,0.93489,0.99969,0.81615,0.5
Lotus_scal_0.50.png,0.77486,0.84675,0.17831,0.5
Perissa_Santorini_crop_0.50.png,0.56591,1,0.67156,0.5
Sanfrancisco_crop_0.50.bmp,0.21455,0.99978,0.59281,0.5
Umdan_ener_0.50.png,0.687,0.84687,0.24023,0.5
bicycle1_scal_0.75.bmp,0.85763,0.93334,0.34518,0.75
blueman_crop_0.50.bmp,0.58012,0.99958,0.65199,0.5
buddha_mult_0.75.png,0.97361,0.98178,0.40922,0.75
butterfly_scal_0.50.png,0.84475,0.88057,0.027027,0.5
car1_seam_0.50.bmp,0.71203,0.77524,0.21673,0.5
car_crop_0.50.bmp,0.79168,0.99869,0.72093,0.5
child_scal_0.50.bmp,0.40174,0.59228,0.066667,0.5
colosseum_crop_0.50.bmp,0.82916,0.99759,0.64935,0.5
eagle_scal_0.50.bmp,0.64707,0.71602,0.09417,0.5
face_ener_0.75.png,0.94832,0.97533,0.62069,0.75
fish_mult_0.50.png,0.80369,0.80677,0.162,0.5
fishing_ener_0.50.png,0.82307,0.88651,0.13353,0.5
getty_seam_0.75.bmp,0.92878,0.90569,0.68116,0.75
girls_seam_0.50.bmp,0.69337,0.75628,0.20731,0.5
jon_ener_0.50.png,0.50058,0.80563,0.16399,0.5
kids_crop_0.75.png,0.78169,0.99994,0.8222,0.75
kodim02_scsc_0.50.png,0.90845,0.9501,0.14054,0.5
kodim15_scsc_0.50.png,0.93815,0.89975,0.43094,0.5
mnm_scst_0.75.png,0.97738,0.99113,0.46967,0.75
obama_ener_0.75.png,0.92558,0.95326,0.44045,0.75
pencils_seam_0.50.bmp,0.86867,0.90192,0.4078,0.5
penguins_scal_0.50.bmp,0.37389,0.69901,0.12837,0.5
pigeons_ener_0.50.png,0.22194,0.45026,0.061941,0.5
ski_ener_0.50.png,0.80271,0.80815,0.18095,0.5
soccer_seam_0.50.bmp,0.82183,0.93901,0.34339,0.5
surfer_crop_0.50.bmp,0.94213,0.99979,0.80921,0.5
tiger_ener_0.75.png,0.93288,0.93092,0.36275,0.75
venice_seam_0.50.bmp,0.94709,0.97372,0.7373,0.5
volleyball_mult_0.75.png,0.97807,0.98977,0.57975,0.75
ArtRoom_scal_0.50.bmp,0.57517,0.56091,0.06169,0.5
Lotus_scst_0.50.png,0.96874,0.97417,0.50378,0.5
Perissa_Santorini_mult_0.50.png,0.81964,0.89736,0.10617,0.5
Sanfrancisco_seam_0.50.bmp,0.37855,0.44851,0.1735,0.5
Umdan_scst_0.50.png,0.85134,0.95412,0.3699,0.5
bicycle1_seam_0.50.bmp,0.95434,0.97195,0.41709,0.5
blueman_scal_0.50.bmp,0.2623,0.40472,0.075047,0.5
buddha_seam_0.50.bmp,0.94964,0.95224,0.67213,0.5
butterfly_shif_0.50.png,0.94751,0.98938,0.63596,0.5
car1_shif_0.50.bmp,0.86739,0.99801,0.71506,0.5
car_seam_0.50.bmp,0.79856,0.88529,0.46743,0.5
child_seam_0.50.bmp,0.97277,0.9769,0.65896,0.5
colosseum_seam_0.50.bmp,0.68073,0.66453,0.19497,0.5
eagle_seam_0.75.bmp,0.95604,0.98298,0.78278,0.75
face_scst_0.75.png,0.97105,0.96444,0.57988,0.75
fish_scal_0.50.png,0.73103,0.78496,0.12586,0.5
fishing_mult_0.50.png,0.67342,0.88453,0.18699,0.5
getty_stvi_0.75.png,0.94421,0.96224,0.43496,0.75
girls_stvi_0.75.png,0.75175,0.89821,0.4251,0.75
jon_seam_0.50.png,0.91007,0.91326,0.31062,0.5
kids_seam_0.50.bmp,0.45582,0.49936,0.12566,0.5
kodim02_seam_0.50.bmp,0.95354,0.97137,0.56502,0.5
kodim15_seam_0.75.bmp,0.99549,0.98659,0.88614,0.75
mnm_seam_0.50.bmp,0.8748,0.93906,0.16,0.5
obama_mult_0.75.png,0.95821,0.98148,0.56542,0.75
pencils_stvi_0.75.png,0.99119,0.99334,0.65401,0.75
penguins_scst_0.75.png,0.97344,0.95189,0.52468,0.75
pigeons_mult_0.50.png,0.4198,0.33699,0.027926,0.5
ski_mult_0.50.png,0.83939,0.91989,0.19355,0.5
soccer_seam_0.75.bmp,0.95082,0.98079,0.68553,0.75
surfer_seam_0.50.bmp,0.89045,0.93193,0.29525,0.5
tiger_seam_0.50.bmp,0.79873,0.75547,0.35434,0.5
venice_shif_0.50.bmp,0.9485,0.9998,0.83305,0.5
volleyball_seam_0.50.bmp,0.67853,0.62465,0.45302,0.5
ArtRoom_seam_0.50.bmp,0.83652,0.83301,0.17924,0.5
Lotus_warp_0.50.png,0.83321,0.97535,0.55908,0.5
Perissa_Santorini_shif_0.50.png,0.72523,0.98574,0.54503,0.5
Sanfrancisco_warp_0.50.bmp,0.47411,0.56064,0.097601,0.5
Umdan_seam_0.50.png,0.83743,0.81154,0.29764,0.5
bicycle1_shif_0.50.bmp,0.93674,0.99885,0.73569,0.5
blueman_seam_0.50.bmp,0.77567,0.78813,0.41756,0.5
buddha_seam_0.75.png,0.96909,0.94628,0.81443,0.75
butterfly_warp_0.50.png,0.74007,0.95949,0.35739,0.5
car1_warp_0.50.bmp,0.80228,0.93075,0.26054,0.5
car_warp_0.50.bmp,0.88849,0.92806,0.19293,0.5
child_warp_0.50.bmp,0.97498,0.98872,0.57056,0.5
colosseum_shif_0.50.bmp,0.86634,0.99916,0.84824,0.5
eagle_warp_0.50.bmp,0.87089,0.89129,0.23093,0.5
face_seam_0.50.bmp,0.86243,0.8588,0.40476,0.5
fish_shif_0.50.png,0.78614,0.93428,0.38974,0.5
fishing_warp_0.50.png,0.79094,0.89363,0.16921,0.5
getty_warp_0.50.bmp,0.84331,0.94019,0.11468,0.5
girls_warp_0.50.bmp,0.14858,0.22965,0.15532,0.5
jon_stvi_0.50.png,0.86409,0.95747,0.25381,0.5
kids_warp_0.50.bmp,0.57794,0.70703,0.043561,0.5
kodim02_shif_0.50.bmp,0.9785,0.99494,0.82243,0.5
kodim15_shif_0.75.bmp,0.95486,0.99776,0.76331,0.75
mnm_stvi_0.75.png,0.96082,0.97196,0.44091,0.75
obama_warp_0.50.bmp,0.58778,0.72324,0.21472,0.5
pencils_warp_0.50.bmp,0.69237,0.79805,0.14863,0.5
penguins_seam_0.75.bmp,0.98053,0.97371,0.64494,0.75
pigeons_warp_0.50.png,0.57301,0.5806,0.15682,0.5
ski_warp_0.50.png,0.7072,0.82215,0.15067,0.5
soccer_warp_0.50.bmp,0.79332,0.9442,0.15166,0.5
surfer_warp_0.50.bmp,0.9117,0.96327,0.26293,0.5
tiger_stvi_0.75.png,0.96382,0.96008,0.46138,0.75
venice_warp_0.75.png,0.97231,0.99529,0.69513,0.75
volleyball_warp_0.50.bmp,0.78581,0.77394,0.33464,0.5
