image,alpha_1,alpha_2,beta,rho
kodim01_scsc_0.50.png,0.80351,0.86962,0.11771,0.5
kodim03_scst_0.75.bmp,0.93827,0.95747,0.60452,0.75
kodim04_crop_0.50.bmp,0.66906,0.97127,0.57329,0.5
kodim05_seam_0.50.bmp,0.79837,0.87053,0.15722,0.5
kodim06_scsc_0.75.png,0.95101,0.96475,0.52531,0.75
kodim07_scst_0.75.bmp,0.8816,0.9275,0.52288,0.75
kodim08_scst_0.50.bmp,0.75754,0.84329,0.1833,0.5
kodim09_scst_0.50.bmp,0.93524,0.97434,0.51323,0.5
kodim10_crop_0.50.bmp,0.71633,0.99631,0.79934,0.5
kodim11_scal_0.50.bmp,0.83542,0.85747,0.074457,0.5
kodim12_scal_0.50.bmp,0.77953,0.80919,0.19417,0.5
kodim13_crop_0.50.bmp,0.7056,0.99001,0.66027,0.5
kodim14_crop_0.50.bmp,0.76279,0.99922,0.73607,0.5
kodim16_scal_0.50.bmp,0.69094,0.73243,0.086957,0.5
kodim17_crop_0.50.bmp,0.68279,0.98897,0.65886,0.5
kodim18_scal_0.50.bmp,0.73543,0.816,0.037008,0.5
kodim19_scsc_0.50.png,0.88208,0.93598,0.30846,0.5
kodim20_seam_0.50.bmp,0.81272,0.90825,0.48742,0.5
kodim21_scal_0.50.bmp,0.70541,0.77026,0.064646,0.5
kodim22_seam_0.50.bmp,0.724,0.83005,0.20168,0.5
kodim23_scsc_0.50.png,0.91222,0.94448,0.27404,0.5
kodim24_seam_0.50.bmp,0.66013,0.74661,0.24934,0.5
monarch_crop_0.75.bmp,0.92816,1,0.95351,0.75
kodim01_scsc_0.75.png,0.91013,0.9358,0.46664,0.75
kodim03_seam_0.50.bmp,0.81753,0.88221,0.30899,0.5
kodim04_scsc_0.75.png,0.9197,0.93971,0.54688,0.75
kodim05_warp_0.50.bmp,0.81165,0.90031,0.11613,0.5
kodim06_scst_0.50.bmp,0.88527,0.93651,0.33677,0.5
kodim07_seam_0.50.bmp,0.8119,0.85083,0.31341,0.5
kodim08_seam_0.50.bmp,0.76586,0.82582,0.20696,0.5
kodim09_seam_0.50.bmp,0.82418,0.88567,0.75709,0.5
kodim10_scsc_0.75.png,0.93486,0.95485,0.53191,0.75
kodim11_scst_0.50.bmp,0.92046,0.95927,0.25322,0.5
kodim12_scsc_0.50.png,0.91034,0.91051,0.39729,0.5
kodim13_scst_0.50.bmp,0.85447,0.90072,0.12796,0.5
kodim14_scal_0.75.bmp,0.93414,0.94994,0.31519,0.75
kodim16_scsc_0.50.png,0.65798,0.78286,0.17197,0.5
kodim17_seam_0.50.bmp,0.79998,0.84465,0.37956,0.5
kodim18_scsc_0.75.png,0.96681,0.95709,0.54028,0.75
kodim19_scsc_0.75.png,0.94821,0.97524,0.53421,0.75
